"ruleQuestionId","body","prompt","ruleId","ruleName"
"45","{""0"":""Someday, I will go to {China}.""}","""Someday, I will go to <u>china / China / china's</u>.""","11","""Proper Nouns"""
"65","{""0"":""I want to eat sushi{, but} the restaurants are closed.""}","""I want to eat sushi.  The restaurants are closed.""","22","""But"""
"66","{""0"":""I can help you{, but} I must leave in an hour.""}","""I can help you. I must leave in an hour.""","22","""But"""
"67","{""0"":""I will drop off the kids{, but} I have to make a call first.""}","""I will drop off the kids.  I have to make a call first.""","22","""But"""
"83","{""0"":""We {moved} to Boston last year.""}","""We  <u>move</u> to Boston last year.""","18","""Past Tense"""
"212","{""0"":""My teacher {went} to the West Coast to attend a funeral.""}","""My teacher _____ to the West Coast to attend a funeral.""","76","""Went"""
"267","{""0"":""Some {deer} have visited our backyard.""}","""Some _____ have visited our backyard.""","60","""Deer"""
"306","{""0"":""I {haven't} visited the Eiffel Tower.""}","""I <u>have not</u> visited the Eiffel Tower.""","105","""Practice: Contractions"""
"324","{""0"":""My friend's new truck, {which} was on sale, needs some repairs.""}","""My friend's new truck, who was on sale, needs some repairs.""","108","""Which"""
"363","{""0"":""You {may} use the bathroom when class is finished.""}","""You <u>can / may</u> use the bathroom when class is finished.""","119","""Can vs. May"""
"364","{""0"":""I {can} juggle a soccer ball for 5 minutes straight.""}","""I <u>can / may</u> juggle a soccer ball for 5 minutes straight.""","119","""Can vs. May"""
"365","{""0"":""You {must} go to school today because you have to graduate.""}","""You <u>should / must</u> go to school today because you have to graduate.""","120","""Should vs. Must"""
"366","{""0"":""You {should} check your bag to see if you packed a raincoat.""}","""You <u>should / must</u> check your bag to see if you packed a raincoat.""","120","""Should vs. Must"""
"379","{""0"":""The lady leaning {against} the wall seems tired.""}","""The lady leaning <u>against / under / between</u> the wall seems tired.""","124","""Prepositional Phrases: Adverb"""
"380","{""0"":""Fred strolled {through} the park today.""}","""Fred strolled <u>through / between / despite</u> the park today.""","124","""Prepositional Phrases: Adverb"""
"403","{""0"":""Go down the street, {then} take a right turn.""}","""Go down the street, ____ take a right turn.""","129","""Than vs. Then"""
"404","{""0"":""I'd rather have two pears {than} an orange""}","""I'd rather have two pears ____ an orange.""","129","""Than vs. Then"""
"405","{""0"":""There are more {than} 300 million people in the United States.""}","""There are more ____ 300 million people in the United States.""","129","""Than vs. Then"""
"406","{""0"":""Her speakers can get much louder {than} mine can.""}","""Her speakers can get much louder ____ mine can.""","129","""Than vs. Then"""
"407","{""0"":""The whole is more {than} the sum of its parts.""}","""The whole is more ___ the sum of its parts.""","129","""Than vs. Then"""
"439","{""0"":""Jon and Susie have the same shoes, but his are red and {hers} are green.""}","""Jon and Susie have the same shoes, but his are red and _____ are green.""","140","""Possessive Pronouns"""
"456","{""0"":""As my Dad followed everyone to the plane, {he} had his pass ready."",""1"":""As my Dad followed everyone to the plane, {they} had his pass ready.""}","""As my Dad followed everyone to the plane, _____ had his pass ready.""","144","""Pronoun Shift: Singular"""
"457","{""0"":""When my Mom was in school, {she} would play jacks all the time.""}","""When my Mom was in school, _____ would play jacks all the time.""","144","""Pronoun Shift: Singular"""
"458","{""0"":""When everybody receives their diploma, {they} will shake hands with the principal.""}","""When everybody receives their diploma, _____ will shake hands with the principal.""","145","""Pronoun Shift: Plural"""
"462","{""0"":""When he makes a mistake, show {him} how to improve.""}","""When he makes a mistake, show <u>him / her / it</u> how to improve.""","146","""Practice: Pronoun Shift"""
"525","{""0"":""The new park {will open} next Thursday."",""1"":""The new park {opens} next Thursday.""}","""The new park <u>open</u> next Thursday.""","19","""Future Tense"""
"536","{""0"":""Houston, we have {a} problem.""}","""Houston, we have ____ problem.""","27","""A"""
"550","{""0"":""I want to go swimming{, but} the water is too cold.""}","""I want to go swimming. The water is too cold.""","22","""But"""
"553","{""0"":""I am so tired{, but} I can't sleep yet.""}","""I am so tired.  I can't sleep yet.""","22","""But"""
